Frame ID,Material,Color,Width (inches),Style,Finish,Category,Availability,Image Filename
F0001,Wood,Champagne,2.0,Minimalist,Matte,Photography,Discontinued,F0001.png
F0002,Composite,Gold,2.5,Vintage,Matte,Gallery,Discontinued,F0002.png
F0003,Metal,Espresso,1.25,Minimalist,Matte,Photography,Discontinued,F0003.png
F0004,Composite,Champagne,2.25,Rustic,Brushed,Home Decor,In Stock,F0004.png
F0005,Composite,Gold,2.25,Modern,Matte,Gallery,In Stock,F0005.png
F0006,Metal,Gold,0.75,Minimalist,Satin,Museum,Discontinued,F0006.png
F0007,Metal,Walnut,1.0,Rustic,Brushed,Museum,Low Stock,F0007.png
F0008,Composite,Silver,2.5,Classic,Glossy,Home Decor,Discontinued,F0008.png
F0009,Composite,Natural,1.5,Baroque,Matte,Photography,Low Stock,F0009.png
F0010,Metal,Espresso,0.5,Baroque,Glossy,Photography,Discontinued,F0010.png
F0011,Metal,Silver,1.0,Vintage,Glossy,Poster,Discontinued,F0011.png
F0012,Metal,White,3.0,Modern,Matte,Poster,In Stock,F0012.png
F0013,Metal,White,2.5,Modern,Brushed,Poster,Low Stock,F0013.png
F0014,Composite,Espresso,0.75,Rustic,Satin,Home Decor,Low Stock,F0014.png
F0015,Composite,Walnut,2.0,Vintage,Glossy,Museum,Discontinued,F0015.png
F0016,Composite,Black,2.25,Modern,Satin,Museum,In Stock,F0016.png
F0017,Wood,Silver,1.25,Rustic,Satin,Gallery,In Stock,F0017.png
F0018,Composite,White,0.5,Minimalist,Brushed,Home Decor,In Stock,F0018.png
F0019,Composite,Silver,1.0,Modern,Brushed,Museum,Low Stock,F0019.png
F0020,Composite,Gold,1.5,Rustic,Satin,Gallery,In Stock,F0020.png
F0021,Composite,Champagne,2.0,Classic,Satin,Museum,Low Stock,F0021.png
F0022,Wood,Charcoal,1.0,Modern,Matte,Gallery,Discontinued,F0022.png
F0023,Metal,Charcoal,0.75,Baroque,Matte,Poster,Low Stock,F0023.png
F0024,Metal,Natural,2.25,Baroque,Glossy,Museum,In Stock,F0024.png
F0025,Composite,Natural,1.5,Minimalist,Glossy,Poster,In Stock,F0025.png
F0026,Composite,Black,2.25,Modern,Glossy,Poster,Discontinued,F0026.png
F0027,Metal,Champagne,0.5,Minimalist,Brushed,Home Decor,In Stock,F0027.png
F0028,Metal,Natural,1.5,Minimalist,Brushed,Photography,Low Stock,F0028.png
F0029,Composite,Black,2.25,Baroque,Matte,Photography,Discontinued,F0029.png
F0030,Wood,Espresso,2.25,Minimalist,Satin,Gallery,Discontinued,F0030.png
F0031,Metal,Espresso,1.25,Minimalist,Satin,Photography,Discontinued,F0031.png
F0032,Composite,Gold,2.5,Modern,Satin,Home Decor,In Stock,F0032.png
F0033,Metal,Black,3.0,Baroque,Matte,Photography,Low Stock,F0033.png
F0034,Wood,Oak,2.5,Modern,Brushed,Gallery,Low Stock,F0034.png
F0035,Metal,Charcoal,2.25,Classic,Glossy,Poster,In Stock,F0035.png
F0036,Metal,Charcoal,3.0,Baroque,Matte,Museum,Discontinued,F0036.png
F0037,Wood,Walnut,2.25,Vintage,Satin,Photography,Low Stock,F0037.png
F0038,Composite,Gold,3.0,Modern,Matte,Poster,Low Stock,F0038.png
F0039,Composite,Walnut,2.0,Classic,Brushed,Museum,Discontinued,F0039.png
F0040,Wood,Espresso,0.75,Baroque,Glossy,Home Decor,Discontinued,F0040.png
F0041,Composite,Walnut,1.5,Baroque,Satin,Home Decor,In Stock,F0041.png
F0042,Metal,Charcoal,1.25,Minimalist,Brushed,Gallery,Discontinued,F0042.png
F0043,Composite,Espresso,2.25,Classic,Satin,Poster,In Stock,F0043.png
F0044,Composite,White,2.0,Classic,Matte,Photography,In Stock,F0044.png
F0045,Wood,Charcoal,0.5,Minimalist,Brushed,Museum,In Stock,F0045.png
F0046,Metal,Walnut,2.5,Rustic,Matte,Poster,Discontinued,F0046.png
F0047,Metal,Walnut,0.5,Classic,Glossy,Home Decor,Low Stock,F0047.png
F0048,Composite,Silver,1.0,Baroque,Glossy,Home Decor,Low Stock,F0048.png
F0049,Wood,Natural,2.0,Baroque,Satin,Gallery,In Stock,F0049.png
F0050,Composite,Charcoal,3.0,Classic,Satin,Photography,Low Stock,F0050.png
F0051,Wood,Oak,2.25,Classic,Matte,Gallery,Low Stock,F0051.png
F0052,Wood,Silver,3.0,Modern,Brushed,Poster,Low Stock,F0052.png
F0053,Metal,Charcoal,1.25,Vintage,Matte,Photography,Low Stock,F0053.png
F0054,Composite,Oak,3.0,Modern,Matte,Gallery,Low Stock,F0054.png
F0055,Composite,Charcoal,1.0,Baroque,Satin,Museum,In Stock,F0055.png
F0056,Metal,Black,2.25,Vintage,Matte,Photography,In Stock,F0056.png
F0057,Wood,Espresso,0.5,Modern,Matte,Poster,In Stock,F0057.png
F0058,Composite,Gold,1.5,Minimalist,Glossy,Museum,In Stock,F0058.png
F0059,Composite,Espresso,1.0,Minimalist,Satin,Gallery,Discontinued,F0059.png
F0060,Metal,Natural,1.5,Vintage,Brushed,Gallery,Low Stock,F0060.png
F0061,Metal,Espresso,2.25,Classic,Satin,Photography,Low Stock,F0061.png
