Frame ID,Material,Color,Width (inches),Style,Finish,Category,Availability,Image Filename,description
F0001,Wood,Champagne,2.0,Minimalist,Matte,Photography,Discontinued,F0001.png,"A Minimalist style frame made of Wood, finished in Matte champagne, with a width of 2.0 inches."
F0002,Composite,Gold,2.5,Vintage,Matte,Gallery,Discontinued,F0002.png,"A Vintage style frame made of Composite, finished in Matte gold, with a width of 2.5 inches."
F0003,Metal,Espresso,1.25,Minimalist,Matte,Photography,Discontinued,F0003.png,"A Minimalist style frame made of Metal, finished in Matte espresso, with a width of 1.25 inches."
F0004,Composite,Champagne,2.25,Rustic,Brushed,Home Decor,In Stock,F0004.png,"A Rustic style frame made of Composite, finished in Brushed champagne, with a width of 2.25 inches."
F0005,Composite,Gold,2.25,Modern,Matte,Gallery,In Stock,F0005.png,"A Modern style frame made of Composite, finished in Matte gold, with a width of 2.25 inches."
F0006,Metal,Gold,0.75,Minimalist,Satin,Museum,Discontinued,F0006.png,"A Minimalist style frame made of Metal, finished in Satin gold, with a width of 0.75 inches."
F0007,Metal,Walnut,1.0,Rustic,Brushed,Museum,Low Stock,F0007.png,"A Rustic style frame made of Metal, finished in Brushed walnut, with a width of 1.0 inches."
F0008,Composite,Silver,2.5,Classic,Glossy,Home Decor,Discontinued,F0008.png,"A Classic style frame made of Composite, finished in Glossy silver, with a width of 2.5 inches."
F0009,Composite,Natural,1.5,Baroque,Matte,Photography,Low Stock,F0009.png,"A Baroque style frame made of Composite, finished in Matte natural, with a width of 1.5 inches."
F0010,Metal,Espresso,0.5,Baroque,Glossy,Photography,Discontinued,F0010.png,"A Baroque style frame made of Metal, finished in Glossy espresso, with a width of 0.5 inches."
F0011,Metal,Silver,1.0,Vintage,Glossy,Poster,Discontinued,F0011.png,"A Vintage style frame made of Metal, finished in Glossy silver, with a width of 1.0 inches."
F0012,Metal,White,3.0,Modern,Matte,Poster,In Stock,F0012.png,"A Modern style frame made of Metal, finished in Matte white, with a width of 3.0 inches."
F0013,Metal,White,2.5,Modern,Brushed,Poster,Low Stock,F0013.png,"A Modern style frame made of Metal, finished in Brushed white, with a width of 2.5 inches."
F0014,Composite,Espresso,0.75,Rustic,Satin,Home Decor,Low Stock,F0014.png,"A Rustic style frame made of Composite, finished in Satin espresso, with a width of 0.75 inches."
F0015,Composite,Walnut,2.0,Vintage,Glossy,Museum,Discontinued,F0015.png,"A Vintage style frame made of Composite, finished in Glossy walnut, with a width of 2.0 inches."
F0016,Composite,Black,2.25,Modern,Satin,Museum,In Stock,F0016.png,"A Modern style frame made of Composite, finished in Satin black, with a width of 2.25 inches."
F0017,Wood,Silver,1.25,Rustic,Satin,Gallery,In Stock,F0017.png,"A Rustic style frame made of Wood, finished in Satin silver, with a width of 1.25 inches."
F0018,Composite,White,0.5,Minimalist,Brushed,Home Decor,In Stock,F0018.png,"A Minimalist style frame made of Composite, finished in Brushed white, with a width of 0.5 inches."
